candidateRowId,candidateId,audioUri,sceneId,eventId,layer,label,expectedStartSec,expectedEndSec,expectedClipDurationSec,expectedWindowDurationSec,audioExists,audioReadable,actualDurationSec,assetTimeMode,durationReference,durationAbsErrorToReferenceSec,peakSec,peakGlobalSec,firstActiveSec,firstActiveGlobalSec,lastActiveSec,lastActiveGlobalSec,peakInsideExpectedWindowGlobal,firstActiveInsideExpectedWindowGlobal,lastActiveInsideExpectedWindowGlobal,activeRatioInsideWindow,activeRatioOutsideWindow,alignmentDecision,alignmentReason,alignmentDecisionV0,alignmentReasonV0,durationAbsErrorSec,peakInsideExpectedWindow,firstActiveInsideExpectedWindow,insideWindowFrameCount,outsideWindowFrameCount
candidate_0000,procedural_v0_0001,artifacts/audio_candidates/week12_procedural_baseline_v0/0001_slot_v0_0001_generation_fallback.wav,seed_0001_case_48b11c,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,full_clip,expectedClipDurationSec,0.0,3.55,3.55,0.25,0.25,7.25,7.25,True,True,True,0.25,0.0,PASS,FULL_CLIP_AMBIENCE_ACTIVITY_INSIDE_SCENE_WINDOW,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW,0.0,True,True,80,0
candidate_0001,procedural_v0_0002,artifacts/audio_candidates/week12_procedural_baseline_v0/0002_slot_v0_0002_generation_fallback.wav,seed_0001_case_48b11c,evt_002,foley,time-aligned footsteps,1.44,5.76,8.0,4.32,True,True,4.32,event_local,expectedWindowDurationSec,0.0,2.75,4.19,0.25,1.69,3.95,5.39,True,True,True,0.166667,0.142857,PASS,EVENT_LOCAL_FOLEY_PEAK_ALIGNED_AFTER_WINDOW_OFFSET,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW,3.68,True,False,30,14
candidate_0002,procedural_v0_0003,artifacts/audio_candidates/week12_procedural_baseline_v0/0003_slot_v0_0003_generation_fallback.wav,seed_0002_case_adc34a,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,full_clip,expectedClipDurationSec,0.0,4.65,4.65,0.55,0.55,7.55,7.55,True,True,True,0.1875,0.0,PASS,FULL_CLIP_AMBIENCE_ACTIVITY_INSIDE_SCENE_WINDOW,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW,0.0,True,True,80,0
candidate_0003,procedural_v0_0004,artifacts/audio_candidates/week12_procedural_baseline_v0/0004_slot_v0_0004_generation_fallback.wav,seed_0002_case_adc34a,evt_002,foley,door close impact,1.44,5.76,8.0,4.32,True,True,4.32,event_local,expectedWindowDurationSec,0.0,2.35,3.79,2.05,3.49,2.35,3.79,True,True,True,0.066667,0.0,PASS,EVENT_LOCAL_FOLEY_PEAK_ALIGNED_AFTER_WINDOW_OFFSET,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW,3.68,True,True,30,14
candidate_0004,procedural_v0_0005,artifacts/audio_candidates/week12_procedural_baseline_v0/0005_slot_v0_0005_generation_fallback.wav,seed_0003_case_9eb26a,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,full_clip,expectedClipDurationSec,0.0,0.85,0.85,0.35,0.35,7.75,7.75,True,True,True,0.275,0.0,PASS,FULL_CLIP_AMBIENCE_ACTIVITY_INSIDE_SCENE_WINDOW,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW,0.0,True,True,80,0
candidate_0005,procedural_v0_0006,artifacts/audio_candidates/week12_procedural_baseline_v0/0006_slot_v0_0006_generation_fallback.wav,seed_0003_case_9eb26a,evt_002,foley,raindrop impacts on window,1.44,5.76,8.0,4.32,True,True,4.32,event_local,expectedWindowDurationSec,0.0,3.85,5.29,0.15,1.59,4.15,5.59,True,True,True,0.433333,0.571429,PASS,EVENT_LOCAL_FOLEY_PEAK_ALIGNED_AFTER_WINDOW_OFFSET,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW,3.68,True,False,30,14
candidate_0006,procedural_v0_0007,artifacts/audio_candidates/week12_procedural_baseline_v0/0007_slot_v0_0007_generation_fallback.wav,seed_0004_case_f9f0fb,evt_001,ambience,contextual ambience bed,0.0,8.0,8.0,8.0,True,True,8.0,full_clip,expectedClipDurationSec,0.0,3.55,3.55,0.35,0.35,7.45,7.45,True,True,True,0.3,0.0,PASS,FULL_CLIP_AMBIENCE_ACTIVITY_INSIDE_SCENE_WINDOW,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW,0.0,True,True,80,0
candidate_0007,procedural_v0_0008,artifacts/audio_candidates/week12_procedural_baseline_v0/0008_slot_v0_0008_generation_fallback.wav,seed_0004_case_f9f0fb,evt_002,foley,keyboard typing taps,1.44,5.76,8.0,4.32,True,True,4.32,event_local,expectedWindowDurationSec,0.0,2.15,3.59,0.25,1.69,4.15,5.59,True,True,True,0.433333,0.428571,PASS,EVENT_LOCAL_FOLEY_PEAK_ALIGNED_AFTER_WINDOW_OFFSET,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW,3.68,True,False,30,14
candidate_0008,procedural_v0_0009,artifacts/audio_candidates/week12_procedural_baseline_v0/0009_slot_v0_0009_generation_fallback.wav,seed_0005_case_06f366,evt_001,ambience,outdoor bike-pass ambience,0.0,8.0,8.0,8.0,True,True,8.0,full_clip,expectedClipDurationSec,0.0,2.85,2.85,1.15,1.15,7.45,7.45,True,True,True,0.2625,0.0,PASS,FULL_CLIP_AMBIENCE_ACTIVITY_INSIDE_SCENE_WINDOW,PASS,AMBIENCE_SPANS_EXPECTED_WINDOW,0.0,True,True,80,0
candidate_0009,procedural_v0_0010,artifacts/audio_candidates/week12_procedural_baseline_v0/0010_slot_v0_0010_generation_fallback.wav,seed_0005_case_06f366,evt_002,foley,bicycle pass-by motion cue,1.2,5.44,8.0,4.24,True,True,4.24,event_local,expectedWindowDurationSec,0.0,1.05,2.25,1.05,2.25,3.15,4.35,True,True,True,0.064516,0.083333,PASS,EVENT_LOCAL_FOLEY_PEAK_ALIGNED_AFTER_WINDOW_OFFSET,FAIL,ENERGY_NOT_ALIGNED_TO_EXPECTED_WINDOW,3.76,False,False,31,12
