api-1  | INFO:     127.0.0.1:47726 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34648 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57754 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39988 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42008 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47450 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55316 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44728 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51768 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50298 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35818 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52562 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38212 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52136 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45142 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58402 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46958 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50890 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41722 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44538 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36986 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40098 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57414 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42346 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36594 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42942 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47880 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58882 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49302 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38600 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46610 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35468 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47072 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47178 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47166 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50330 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58280 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39112 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37490 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33212 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58530 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52872 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33360 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46168 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34692 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44316 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53460 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55120 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35348 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58944 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54038 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49882 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36690 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43736 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41716 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56056 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37942 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46846 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50286 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45572 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49284 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38350 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37182 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49006 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42962 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35532 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43040 - "GET /healthz HTTP/1.1" 200 OK
