api-1  | INFO:     127.0.0.1:55578 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41354 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54266 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40480 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54800 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48300 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38028 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43322 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51370 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33948 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51248 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39912 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38304 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38508 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44734 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56078 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53152 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35254 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51152 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53488 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59878 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35856 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49242 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48480 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49968 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42332 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60632 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60250 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38476 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54562 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46272 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53976 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46858 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59808 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50546 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46732 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36188 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44824 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54996 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33644 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51410 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47740 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47910 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52656 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54822 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50380 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51000 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45202 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53656 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51106 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52134 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52368 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40428 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44096 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37606 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43552 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40008 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56414 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39968 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53826 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39108 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57648 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37834 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36500 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50216 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43602 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37636 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33180 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56668 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45760 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43426 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33046 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59148 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42226 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49746 - "GET /healthz HTTP/1.1" 200 OK
