case_id,candidate_id,event_id,layer_role,priority,time_s,duration_s,tolerance_ms,window_start_s,window_end_s,event_rms,global_rms,energy_ratio,threshold,covered,event_score
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,forest_wind,ambience,2,0.0,8.0,500,0.0,8.0,0.09411,0.09411,1.0,0.004,True,1.0
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,bird_chirp,foley,3,1.0,0.8,150,0.85,1.95,0.083042,0.09411,0.882399,0.012,True,1.0
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,leaf_rustle,foley,4,3.4,1.4,180,3.22,4.98,0.162578,0.09411,1.727538,0.014,True,1.0
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,branch_crack,foley,5,5.8,0.35,100,5.7,6.25,0.158614,0.09411,1.685423,0.016,True,1.0
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,quiet_room_tone,ambience,1,0.0,7.0,500,0.0,7.0,0.104635,0.104635,1.0,0.004,True,1.0
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,glass_slip,foley,4,1.5,0.7,120,1.38,2.32,0.152004,0.104635,1.452708,0.014,True,1.0
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,impact,foley,5,2.5,0.15,70,2.43,2.72,0.147205,0.104635,1.406851,0.016,True,1.0
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,shatter_tail,foley,5,2.65,1.1,100,2.55,3.85,0.199934,0.104635,1.910783,0.016,True,1.0
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,room_tone,ambience,1,0.0,10.0,500,0.0,10.0,0.110776,0.110776,1.0,0.004,True,1.0
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,knife_chops,foley,5,1.0,3.2,100,0.9,4.3,0.062841,0.110776,0.567275,0.016,False,0.55
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,pan_sizzle_rise,foley,4,4.8,3.0,250,4.55,8.05,0.169858,0.110776,1.533348,0.014,True,1.0
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,plate_set_down,foley,3,8.5,0.4,120,8.38,9.02,0.108638,0.110776,0.980696,0.012,True,1.0
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,warehouse_hum,ambience,1,0.0,11.0,600,0.0,11.0,0.064416,0.064416,1.0,0.004,True,1.0
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,servo_arm_move,foley,4,1.5,2.2,180,1.32,3.88,0.101131,0.064416,1.569964,0.014,True,1.0
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,box_lift,foley,5,4.6,1.2,150,4.45,5.95,0.096014,0.064416,1.490525,0.016,True,1.0
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,confirm_beep,fx,3,7.4,0.25,80,7.32,7.73,0.090113,0.064416,1.398919,0.012,True,1.0
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,rain_ambience_start,ambience,2,0.0,9.0,500,0.0,9.0,0.069062,0.069062,1.0,0.004,True,1.0
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,footsteps_enter,foley,4,1.2,2.5,180,1.02,3.88,0.056526,0.069062,0.818485,0.014,True,1.0
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,car_pass_left_to_right,foley,3,4.0,1.8,250,3.75,6.05,0.068724,0.069062,0.995105,0.012,True,1.0
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,puddle_splash,foley,5,6.7,0.5,120,6.58,7.32,0.168349,0.069062,2.437647,0.016,True,1.0
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,platform_bed,ambience,2,0.0,12.0,700,0.0,12.0,0.044123,0.044123,1.0,0.004,True,1.0
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,train_rumble_approach,foley,4,1.2,4.5,250,0.95,5.95,0.048428,0.044123,1.097553,0.014,True,1.0
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,brake_squeal,foley,5,5.7,1.2,150,5.55,7.05,0.052639,0.044123,1.193006,0.016,True,1.0
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,door_open_chime,fx,3,8.2,0.5,120,8.08,8.82,0.082198,0.044123,1.862926,0.012,True,1.0
