case_id,strategy_id,metric_available,proxy_score,publish_decision,edit_applied,live_group_available,unavailable_reason
fb_001_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_001_tuesday_repair,B,True,0.05774165422837744,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_001_tuesday_repair,C,True,0.7043446453225376,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_001_tuesday_repair,D,True,0.14768224822178233,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_012_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_012_tuesday_repair,B,True,0.05774197763162403,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_012_tuesday_repair,C,True,0.6929724140699342,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_012_tuesday_repair,D,True,0.05085619474255186,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_009_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_009_tuesday_repair,B,True,0.0560912828061415,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_009_tuesday_repair,C,True,0.7043446453225376,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_009_tuesday_repair,D,True,0.03244977352114784,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_010_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_010_tuesday_repair,B,True,0.05609323226402881,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_010_tuesday_repair,C,True,0.6929724140699342,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_010_tuesday_repair,D,True,0.03359663183122161,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_011_semantic_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_semantic_repair,B,True,0.05609203398342367,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_semantic_repair,C,True,0.05609203398342367,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_semantic_repair,D,True,0.0661885189559741,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_011_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_tuesday_repair,B,True,0.05609250568610967,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_tuesday_repair,C,True,0.05609250568610967,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_011_tuesday_repair,D,True,0.06618898667508255,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_006_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_006_tuesday_repair,B,True,0.05609203398342367,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_006_tuesday_repair,C,True,0.6988203735945177,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_006_tuesday_repair,D,True,0.06041160820606789,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_007_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_007_tuesday_repair,B,True,0.05609221983824223,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_007_tuesday_repair,C,True,0.7043446453225376,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_007_tuesday_repair,D,True,0.1137397192416537,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_002_tuesday_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_002_tuesday_repair,B,True,0.05609203398342367,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_002_tuesday_repair,C,True,0.6929724140699342,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_002_tuesday_repair,D,True,0.1751201062685597,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_003_semantic_repair,A,True,0.05610588473770214,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_003_semantic_repair,B,True,0.05609250568610967,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_003_semantic_repair,C,True,0.3121213526331245,PROVISIONAL_SELECTED,False,False,LIVE_RUNTIME_BLOCKED
fb_003_semantic_repair,D,True,0.08271546813314082,PROVISIONAL_SELECTED,True,False,LIVE_RUNTIME_BLOCKED
fb_004_transplant_v1,A,True,0.05610588473770214,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_004_transplant_v1,B,True,0.0560912828061415,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_004_transplant_v1,C,False,,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_004_transplant_v1,D,False,,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_005_transplant_v1,A,True,0.05610588473770214,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_005_transplant_v1,B,True,0.057743633251664275,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_005_transplant_v1,C,False,,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
fb_005_transplant_v1,D,False,,BLOCKED,False,False,LIVE_RUNTIME_BLOCKED
