pair_id,case_id,kind,left_strategy,right_strategy,left_digest,right_digest,block_id,display_index
pair_6a09433057b63e52,fb_010_tuesday_repair,UNIQUE,C,B,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,block-1,1
pair_48560fc3022ffe23,fb_010_tuesday_repair,UNIQUE,D,C,sha256:bd875fd476155358b8e363a9a4c1d62654a15489a38c94ededec2dff403c6623,sha256:2eb7189de4d66bf9d00ff5183964ddb3b2de62804409729211f0480eb2c97a09,block-1,2
pair_b6ab19aaa22299bf,fb_006_tuesday_repair,UNIQUE,B,C,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,sha256:65786473598076b752b319930eb261f27e2b79dfbdfe7da1acfe3fe41289103d,block-1,3
pair_c9d3bddbab4f83c9,fb_005_transplant_v1,UNIQUE,D,C,sha256:264c9ae21730dda35c2d1e14e972535f1533758ef3240525f5f184df08134249,sha256:29956405f600760a071c699af399b638d09b830afb6c408e527b7644d281b97b,block-1,4
pair_89f53c199c1ab6df,fb_009_tuesday_repair,UNIQUE,C,B,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,block-1,5
pair_8aae29bafe637dc0,fb_010_tuesday_repair,UNIQUE,D,A,sha256:bd875fd476155358b8e363a9a4c1d62654a15489a38c94ededec2dff403c6623,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,block-1,6
pair_3d5d7826c1b6b625,fb_003_semantic_repair,UNIQUE,D,C,sha256:923f175e84fb1678dd4d3c17a1df04c1669be49e8f130f16dbed429bae4a835d,sha256:9df53f63f62082020f8defa57bd00f3a4a0f430698126e767ae365ebfc078076,block-1,7
pair_cd81f2f65c49b3b3,fb_001_tuesday_repair,UNIQUE,C,B,sha256:a943c04eee778438d70468bbaa5533faa55ff4c72b426b0c6e71cb3f6e33f85b,sha256:622ff408816735590911393428e74b041d56d73883e1d1765a354877e4f3bd17,block-1,8
pair_52617db00a4eefb3,fb_011_tuesday_repair,UNIQUE,C,D,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,sha256:776499a69290a81cf419ec64133f8b06a4874b769d3ffb0eacd3de422d59dfe9,block-1,9
pair_8c4a5680eafb4f0e,fb_011_semantic_repair,UNIQUE,D,A,sha256:d2dcef398a6c1f178bb6a391d34732bdbf77d93743b074c155ff542483d738e9,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,block-1,10
pair_880ba27f3eb38a52,fb_003_semantic_repair,UNIQUE,B,C,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,sha256:9df53f63f62082020f8defa57bd00f3a4a0f430698126e767ae365ebfc078076,block-1,11
pair_7b87406b7ef72476,fb_002_tuesday_repair,UNIQUE,D,C,sha256:1fbf8afdf9fe2de7481e3519ea12e7350020f18fe5fccce2dfdad65f9fbfe22d,sha256:ee86e7336556491776f67ec3c79fb715ced9cf194dfabc33ec00103859de1f21,block-1,12
pair_05e5d33e2ca96dba,fb_004_transplant_v1,UNIQUE,A,D,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,sha256:8a005ac152a326d483723582e89732dbad7edde50c0314814621c3403d800836,block-2,13
pair_92dc41f5666f96b0,fb_012_tuesday_repair,UNIQUE,B,A,sha256:cec7e668b9b089bef96dcd321552c131d868f16538c722bc2725b2ea664c5803,sha256:6c5e3331bb27ccc1f72d25601390b70a939bcf2afc75dffa8f5c97cd38a71313,block-2,14
pair_acbebdc4449da05e,fb_009_tuesday_repair,UNIQUE,C,D,sha256:3ca9e8078c88fda925b71a5ea40c29b940f23c8ee0b4165764ad43b964feb6b9,sha256:c2ae680ef14d734f658333735898c7ea7cd576f4070b51a107716fcdb82afc69,block-2,15
pair_fd18d1b6377d2556,fb_001_tuesday_repair,UNIQUE,D,C,sha256:ea354414591a00a79019c24a78437e9733e7779222b492957cad18e7a8863ccf,sha256:a943c04eee778438d70468bbaa5533faa55ff4c72b426b0c6e71cb3f6e33f85b,block-2,16
pair_e0ab277959a78875,fb_011_tuesday_repair,UNIQUE,B,D,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,sha256:776499a69290a81cf419ec64133f8b06a4874b769d3ffb0eacd3de422d59dfe9,block-2,17
