candidate_id,failure_id,parent_candidate_id,repair_action,source_mode,before_artifact,after_artifact,donor_lineage,target_delta,outside_window_delta_db,edit_cost,baseline_selector_score,output_readable,severe_regression,lineage_complete,ordering_correct,semantic_target_satisfied,forbidden_event_status,human_review_complete,manual_reject,decision,reason
fb_001_tuesday_repair,fb_001,forest_bird_branch_001|dss_global,MICRO_DECLIP_LINEAR_PROBE,mixed_only,artifacts/repair/batch_20260714/fb_001/before.wav,artifacts/repair/batch_20260714/fb_001/after.wav,{},-2.0,,0.0006100281682028367,80.8627,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_002_tuesday_repair,fb_002,robot_warehouse_pick_001|dss_global,HEADROOM_ONLY,mixed_only,artifacts/repair/batch_20260714/fb_002/before.wav,artifacts/repair/batch_20260714/fb_002/after.wav,{},-0.016082763671875,,0.7852874405146198,78.5,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_003_tuesday_repair,fb_003,robot_warehouse_pick_001|dss_event_timeline,SMOOTH_REGION_GAIN,mixed_only,artifacts/repair/batch_20260714/fb_003/before.wav,artifacts/repair/batch_20260714/fb_003/after.wav,{},-0.008130957266400271,,0.12021344900131226,89.0,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_006_tuesday_repair,fb_006,kitchen_chop_sizzle_001|naive_rich,MICRO_DECLIP_LINEAR_PROBE,mixed_only,artifacts/repair/batch_20260714/fb_006/before.wav,artifacts/repair/batch_20260714/fb_006/after.wav,{},-4.0,,9.211904796964916e-06,90.9089,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_007_tuesday_repair,fb_007,kitchen_chop_sizzle_001|naive,MICRO_DECLIP_LINEAR_PROBE,mixed_only,artifacts/repair/batch_20260714/fb_007/before.wav,artifacts/repair/batch_20260714/fb_007/after.wav,{},-1.0,,4.601575833656293e-06,89.9545,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_009_tuesday_repair,fb_009,glass_drop_room_001|naive,MICRO_DECLIP_LINEAR_PROBE,mixed_only,artifacts/repair/batch_20260714/fb_009/before.wav,artifacts/repair/batch_20260714/fb_009/after.wav,{},-3.0,,1.642813285191854e-05,91.8372,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_010_tuesday_repair,fb_010,glass_drop_room_001|dss_global,HEADROOM_ONLY,mixed_only,artifacts/repair/batch_20260714/fb_010/before.wav,artifacts/repair/batch_20260714/fb_010/after.wav,{},-0.012176513671875,,0.9120979801813762,92.5,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_011_tuesday_repair,fb_011,glass_drop_room_001|naive_rich,SMOOTH_REGION_GAIN,mixed_only,artifacts/repair/batch_20260714/fb_011/before.wav,artifacts/repair/batch_20260714/fb_011/after.wav,{},0.00152716227287732,,0.02069354514280955,96.0,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
fb_012_tuesday_repair,fb_012,forest_bird_branch_001|dss_event_timeline,HEADROOM_ONLY,mixed_only,artifacts/repair/batch_20260714/fb_012/before.wav,artifacts/repair/batch_20260714/fb_012/after.wav,{},-0.019989013671875,,0.9773834987214981,93.9431,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
hn_001_tuesday_repair,hn_001,street_rain_crosswalk_001|naive,MICRO_DECLIP_LINEAR_PROBE,mixed_only,artifacts/repair/batch_20260714/hn_001/before.wav,artifacts/repair/batch_20260714/hn_001/after.wav,{},-4.0,,2.0658815061891234e-05,77.8985,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
hn_002_tuesday_repair,hn_002,subway_arrival_door_001|dss_layer_avoid,SILENCE_AWARE_TRIM,mixed_only,artifacts/repair/batch_20260714/hn_002/before.wav,artifacts/repair/batch_20260714/hn_002/after.wav,{},-1081.3605442176872,,0.10805176914153132,85.5,True,False,True,True,True,unknown,False,False,MANUAL_REVIEW,forbidden-event detector unavailable; human label required
