case_id,variant,job_id,priority,reason,status,rms_dbfs,peak_dbfs,clipped_ratio,active_ratio,wav_path,flac_path
forest_bird_branch_001,naive,w18_001_forest_bird_branch_001_naive,normal,,ok,-34.2595,-14.8157,0.0,0.99500046,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.flac
forest_bird_branch_001,naive_rich,w18_002_forest_bird_branch_001_naive_rich,normal,,ok,-30.642,-13.4768,0.0,0.99664324,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.flac
forest_bird_branch_001,dss_global,w18_003_forest_bird_branch_001_dss_global,listen_review,near_full_scale_peak,ok,-15.6334,0.0,0.00056373,0.99648096,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.flac
forest_bird_branch_001,dss_event_timeline,w18_004_forest_bird_branch_001_dss_event_timeline,listen_review,near_full_scale_peak,ok,-24.873,0.0,5.69e-06,0.99679414,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.flac
forest_bird_branch_001,dss_layer_avoid,w18_005_forest_bird_branch_001_dss_layer_avoid,listen_review,near_full_scale_peak,ok,-24.0057,0.0,2.85e-06,0.99788459,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.flac
glass_drop_room_001,naive,w18_006_glass_drop_room_001_naive,listen_review,near_full_scale_peak,ok,-28.8087,-0.0003,1.628e-05,0.99447266,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.flac
glass_drop_room_001,naive_rich,w18_007_glass_drop_room_001_naive_rich,normal,,ok,-36.791,-22.9395,0.0,0.99414714,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.flac
glass_drop_room_001,dss_global,w18_008_glass_drop_room_001_dss_global,listen_review,near_full_scale_peak,ok,-28.5421,-0.0681,0.0,0.99218099,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.flac
glass_drop_room_001,dss_event_timeline,w18_009_glass_drop_room_001_dss_event_timeline,normal,,ok,-36.765,-23.0593,0.0,0.99408529,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.flac
glass_drop_room_001,dss_layer_avoid,w18_010_glass_drop_room_001_dss_layer_avoid,normal,,ok,-33.8753,-0.5245,0.0,0.99229167,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.flac
kitchen_chop_sizzle_001,naive,w18_011_kitchen_chop_sizzle_001_naive,listen_review,near_full_scale_peak,ok,-17.9157,0.0,4.55e-06,0.96262201,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.flac
kitchen_chop_sizzle_001,naive_rich,w18_012_kitchen_chop_sizzle_001_naive_rich,listen_review,near_full_scale_peak,ok,-23.4798,-0.0003,9.11e-06,0.94942362,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.flac
kitchen_chop_sizzle_001,dss_global,w18_013_kitchen_chop_sizzle_001_dss_global,normal,,ok,-23.1706,-0.1368,0.0,0.89846709,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.flac
kitchen_chop_sizzle_001,dss_event_timeline,w18_014_kitchen_chop_sizzle_001_dss_event_timeline,normal,,ok,-25.7272,-0.1024,0.0,0.90007649,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.flac
kitchen_chop_sizzle_001,dss_layer_avoid,w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,normal,,ok,-23.2495,-0.1024,0.0,0.92778218,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.flac
robot_warehouse_pick_001,naive,w18_016_robot_warehouse_pick_001_naive,normal,,ok,-18.0394,-0.3109,0.0,0.91639175,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.flac
robot_warehouse_pick_001,naive_rich,w18_017_robot_warehouse_pick_001_naive_rich,normal,,ok,-14.0528,-0.206,0.0,0.88171812,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.flac
robot_warehouse_pick_001,dss_global,w18_018_robot_warehouse_pick_001_dss_global,listen_review,near_full_scale_peak,ok,-14.1672,-0.034,0.0,0.87007414,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.flac
robot_warehouse_pick_001,dss_event_timeline,w18_019_robot_warehouse_pick_001_dss_event_timeline,normal,,ok,-22.7657,-7.1032,0.0,0.87177123,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.flac
robot_warehouse_pick_001,dss_layer_avoid,w18_020_robot_warehouse_pick_001_dss_layer_avoid,normal,,ok,-16.7288,-1.4757,0.0,0.86994499,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.flac
street_rain_crosswalk_001,naive,w18_021_street_rain_crosswalk_001_naive,listen_review,near_full_scale_peak|very_loud_rms,ok,-11.5997,0.0,1.015e-05,0.99960177,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.flac
street_rain_crosswalk_001,naive_rich,w18_022_street_rain_crosswalk_001_naive_rich,normal,,ok,-16.952,-2.3641,0.0,0.99926948,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.flac
