case_id,expected_event_count,baseline_variant,baseline_score,baseline_rms_dbfs,baseline_peak_dbfs,baseline_clipped_ratio,baseline_onset_count_proxy,dss_variant,dss_score,dss_rms_dbfs,dss_peak_dbfs,dss_clipped_ratio,dss_onset_count_proxy,score_delta_vs_baseline,classification,baseline_reasons,dss_reasons,dss_audio_path
forest_bird_branch_001,4,naive,100.0,-34.2595,-14.8157,0.0,25,dss_global,80.3627,-15.6334,0.0,0.00056373,18,-19.6373,worse,,minor_clip:0.00056373|near_full_scale_peak:0.0|loud_rms:-15.6334,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav
forest_bird_branch_001,4,naive,100.0,-34.2595,-14.8157,0.0,25,dss_event_timeline,91.9431,-24.873,0.0,5.69e-06,9,-8.0569,worse,,minor_clip:5.69e-06|near_full_scale_peak:0.0,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav
forest_bird_branch_001,4,naive,100.0,-34.2595,-14.8157,0.0,25,dss_layer_avoid,91.9715,-24.0057,0.0,2.85e-06,26,-8.0285,worse,,minor_clip:2.85e-06|near_full_scale_peak:0.0,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav
glass_drop_room_001,4,naive_rich,95.0,-36.791,-22.9395,0.0,24,dss_global,92.0,-28.5421,-0.0681,0.0,1,-3.0,neutral,quiet_rms:-36.791,near_full_scale_peak:-0.0681,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav
glass_drop_room_001,4,naive_rich,95.0,-36.791,-22.9395,0.0,24,dss_event_timeline,95.0,-36.765,-23.0593,0.0,18,0.0,neutral,quiet_rms:-36.791,quiet_rms:-36.765,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav
glass_drop_room_001,4,naive_rich,95.0,-36.791,-22.9395,0.0,24,dss_layer_avoid,97.0,-33.8753,-0.5245,0.0,1,2.0,neutral,quiet_rms:-36.791,hot_peak:-0.5245,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav
kitchen_chop_sizzle_001,4,naive,87.9545,-17.9157,0.0,4.55e-06,14,dss_global,87.0,-23.1706,-0.1368,0.0,9,-0.9545,neutral,minor_clip:4.55e-06|near_full_scale_peak:0.0|moderate_silence_ratio:0.03737799,hot_peak:-0.1368|high_silence_ratio:0.10153291,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav
kitchen_chop_sizzle_001,4,naive,87.9545,-17.9157,0.0,4.55e-06,14,dss_event_timeline,87.0,-25.7272,-0.1024,0.0,2,-0.9545,neutral,minor_clip:4.55e-06|near_full_scale_peak:0.0|moderate_silence_ratio:0.03737799,hot_peak:-0.1024|high_silence_ratio:0.09992351,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.wav
kitchen_chop_sizzle_001,4,naive,87.9545,-17.9157,0.0,4.55e-06,14,dss_layer_avoid,93.0,-23.2495,-0.1024,0.0,6,5.0455,improves,minor_clip:4.55e-06|near_full_scale_peak:0.0|moderate_silence_ratio:0.03737799,hot_peak:-0.1024|moderate_silence_ratio:0.07221782,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav
robot_warehouse_pick_001,4,naive,87.0,-18.0394,-0.3109,0.0,15,dss_global,76.0,-14.1672,-0.034,0.0,28,-11.0,worse,hot_peak:-0.3109|high_silence_ratio:0.08360825,near_full_scale_peak:-0.034|loud_rms:-14.1672|high_silence_ratio:0.12992586,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav
robot_warehouse_pick_001,4,naive,87.0,-18.0394,-0.3109,0.0,15,dss_event_timeline,85.0,-22.7657,-7.1032,0.0,33,-2.0,neutral,hot_peak:-0.3109|high_silence_ratio:0.08360825,high_silence_ratio:0.12822877|over_dense_onset_proxy:33.0_vs_expected:4,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav
robot_warehouse_pick_001,4,naive,87.0,-18.0394,-0.3109,0.0,15,dss_layer_avoid,85.0,-16.7288,-1.4757,0.0,33,-2.0,neutral,hot_peak:-0.3109|high_silence_ratio:0.08360825,high_silence_ratio:0.13005501|over_dense_onset_proxy:33.0_vs_expected:4,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav
street_rain_crosswalk_001,4,naive_rich,100.0,-16.952,-2.3641,0.0,14,dss_global,77.2644,-10.0348,0.0,7.356e-05,26,-22.7356,worse,,minor_clip:7.356e-05|near_full_scale_peak:0.0|very_loud_rms:-10.0348,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav
street_rain_crosswalk_001,4,naive_rich,100.0,-16.952,-2.3641,0.0,14,dss_event_timeline,100.0,-16.5888,-3.0593,0.0,14,0.0,neutral,,,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav
street_rain_crosswalk_001,4,naive_rich,100.0,-16.952,-2.3641,0.0,14,dss_layer_avoid,100.0,-16.1286,-2.8684,0.0,20,0.0,neutral,,,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav
subway_arrival_door_001,4,naive,96.0,-22.3956,-4.9374,0.0,17,dss_global,93.0,-16.0454,-0.1713,0.0,18,-3.0,neutral,moderate_silence_ratio:0.05893136,hot_peak:-0.1713|moderate_silence_ratio:0.07413038,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav
subway_arrival_door_001,4,naive,96.0,-22.3956,-4.9374,0.0,17,dss_event_timeline,84.0,-12.6374,-3.0,0.0,28,-12.0,worse,moderate_silence_ratio:0.05893136,loud_rms:-12.6374|high_silence_ratio:0.13714925,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline_repaired_peak_m3db.wav
subway_arrival_door_001,4,naive,96.0,-22.3956,-4.9374,0.0,17,dss_layer_avoid,84.0,-13.2822,-3.0,0.0,28,-12.0,worse,moderate_silence_ratio:0.05893136,loud_rms:-13.2822|high_silence_ratio:0.13215768,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid_repaired_peak_m3db.wav
