failure_id,candidate_key,case_id,variant,audio_path,selector_v2_rank,selector_v2_score,metric_confidence,repairability,selector_rejection_reason,failure_category,next_action,repair_note,sr,duration_sec,peak_abs,rms_mean,onset_proxy_count,wav_read_error,plot_path,plot_ok,plot_error
fb_001,forest_bird_branch_001|dss_global,forest_bird_branch_001,dss_global,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,5,0.430590,0.472640,0.720000,repair_candidate,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,7.9644,1.0,0.098846,45,,artifacts/failures/w18_failure_bank_20260708/fb_001__forest_bird_branch_001__dss_global.png,true,
fb_002,robot_warehouse_pick_001|dss_global,robot_warehouse_pick_001,dss_global,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,5,0.411584,0.530278,0.720000,repair_candidate,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,10.0078,0.996094,0.170094,98,,artifacts/failures/w18_failure_bank_20260708/fb_002__robot_warehouse_pick_001__dss_global.png,true,
fb_003,robot_warehouse_pick_001|dss_event_timeline,robot_warehouse_pick_001,dss_event_timeline,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,2,0.573262,0.531518,0.720000,repair_candidate,layer_conflict_or_repairable,layer_priority_remix,Marked repairable; try non-destructive layer gain/remix first.,44100,10.0078,0.441406,0.063511,100,,artifacts/failures/w18_failure_bank_20260708/fb_003__robot_warehouse_pick_001__dss_event_timeline.png,true,
fb_004,robot_warehouse_pick_001|naive,robot_warehouse_pick_001,naive,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,3,0.539130,0.564121,0.720000,repair_candidate;naive_less_controllable,naive_less_controllable,replace_with_dss_variant,Naive prompt has weaker controllability; use DSS variant or repair only if audio quality is much better.,44100,10.0078,0.964844,0.099395,31,,artifacts/failures/w18_failure_bank_20260708/fb_004__robot_warehouse_pick_001__naive.png,true,
fb_005,subway_arrival_door_001|naive,subway_arrival_door_001,naive,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,2,0.636714,0.582152,0.720000,repair_candidate;naive_less_controllable,naive_less_controllable,replace_with_dss_variant,Naive prompt has weaker controllability; use DSS variant or repair only if audio quality is much better.,44100,10.0078,0.566406,0.063222,59,,artifacts/failures/w18_failure_bank_20260708/fb_005__subway_arrival_door_001__naive.png,true,
fb_006,kitchen_chop_sizzle_001|naive_rich,kitchen_chop_sizzle_001,naive_rich,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,4,0.528882,0.585832,0.720000,repair_candidate;naive_less_controllable,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,9.9614,0.999969,0.023694,16,,artifacts/failures/w18_failure_bank_20260708/fb_006__kitchen_chop_sizzle_001__naive_rich.png,true,
fb_007,kitchen_chop_sizzle_001|naive,kitchen_chop_sizzle_001,naive,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,5,0.517477,0.596689,0.720000,repair_candidate;naive_less_controllable,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,9.9614,1.0,0.061617,24,,artifacts/failures/w18_failure_bank_20260708/fb_007__kitchen_chop_sizzle_001__naive.png,true,
fb_008,street_rain_crosswalk_001|dss_global,street_rain_crosswalk_001,dss_global,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,4,0.422828,0.605427,0.720000,repair_candidate,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,8.9397,1.0,0.299593,78,,artifacts/failures/w18_failure_bank_20260708/fb_008__street_rain_crosswalk_001__dss_global.png,true,
fb_009,glass_drop_room_001|naive,glass_drop_room_001,naive,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,5,0.552445,0.616841,0.720000,repair_candidate;naive_less_controllable,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,6.966,0.999969,0.018215,5,,artifacts/failures/w18_failure_bank_20260708/fb_009__glass_drop_room_001__naive.png,true,
fb_010,glass_drop_room_001|dss_global,glass_drop_room_001,dss_global,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,3,0.653425,0.619498,0.720000,repair_candidate,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,6.966,0.992188,0.015949,6,,artifacts/failures/w18_failure_bank_20260708/fb_010__glass_drop_room_001__dss_global.png,true,
fb_011,glass_drop_room_001|naive_rich,glass_drop_room_001,naive_rich,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,4,0.617624,0.620935,0.720000,repair_candidate;naive_less_controllable,silence,silence_trim_or_gain,RMS/silence proxy suggests weak or silent candidate; trim silence and apply event-local gain.,44100,6.966,0.071289,0.013837,69,,artifacts/failures/w18_failure_bank_20260708/fb_011__glass_drop_room_001__naive_rich.png,true,
fb_012,forest_bird_branch_001|dss_event_timeline,forest_bird_branch_001,dss_event_timeline,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,4,0.676151,0.621355,0.720000,repair_candidate,clipping,clipping_attenuation,Peak or clip proxy is high; attenuate clipped regions before reselection.,44100,7.9644,1.0,0.041272,12,,artifacts/failures/w18_failure_bank_20260708/fb_012__forest_bird_branch_001__dss_event_timeline.png,true,
