case_id,variant,job_id,generation_duration_sec,prompt_chars,flac_exists,flac_size_bytes,wav_exists,wav_size_bytes,sample_rate,duration_sec,rms_dbfs,peak_dbfs,clipped_ratio,active_ratio,status,flac_path,wav_path
forest_bird_branch_001,naive,w18_001_forest_bird_branch_001_naive,7.9644,240,True,425214,True,702542,44100,7.9644,-34.2595,-14.8157,0.0,0.99500046,ok,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav
forest_bird_branch_001,naive_rich,w18_002_forest_bird_branch_001_naive_rich,7.9644,528,True,435399,True,702542,44100,7.9644,-30.642,-13.4768,0.0,0.99664324,ok,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav
forest_bird_branch_001,dss_global,w18_003_forest_bird_branch_001_dss_global,7.9644,316,True,417616,True,702542,44100,7.9644,-15.6334,0.0,0.00056373,0.99648096,ok,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav
forest_bird_branch_001,dss_event_timeline,w18_004_forest_bird_branch_001_dss_event_timeline,7.9644,754,True,430138,True,702542,44100,7.9644,-24.873,0.0,5.69e-06,0.99679414,ok,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav
forest_bird_branch_001,dss_layer_avoid,w18_005_forest_bird_branch_001_dss_layer_avoid,7.9644,897,True,419505,True,702542,44100,7.9644,-24.0057,0.0,2.85e-06,0.99788459,ok,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav
glass_drop_room_001,naive,w18_006_glass_drop_room_001_naive,7.0,248,True,327486,True,614478,44100,6.966,-28.8087,-0.0003,1.628e-05,0.99447266,ok,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav
glass_drop_room_001,naive_rich,w18_007_glass_drop_room_001_naive_rich,7.0,555,True,334696,True,614478,44100,6.966,-36.791,-22.9395,0.0,0.99414714,ok,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav
glass_drop_room_001,dss_global,w18_008_glass_drop_room_001_dss_global,7.0,324,True,342931,True,614478,44100,6.966,-28.5421,-0.0681,0.0,0.99218099,ok,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav
glass_drop_room_001,dss_event_timeline,w18_009_glass_drop_room_001_dss_event_timeline,7.0,780,True,354797,True,614478,44100,6.966,-36.765,-23.0593,0.0,0.99408529,ok,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav
glass_drop_room_001,dss_layer_avoid,w18_010_glass_drop_room_001_dss_layer_avoid,7.0,923,True,341204,True,614478,44100,6.966,-33.8753,-0.5245,0.0,0.99229167,ok,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav
