job_id,case_id,variant,old_duration_sec,actual_video_duration_sec,new_duration_sec,changed
w18_001_forest_bird_branch_001_naive,forest_bird_branch_001,naive,10.0,8.0,8.0,True
w18_002_forest_bird_branch_001_naive_rich,forest_bird_branch_001,naive_rich,10.0,8.0,8.0,True
w18_003_forest_bird_branch_001_dss_global,forest_bird_branch_001,dss_global,10.0,8.0,8.0,True
w18_004_forest_bird_branch_001_dss_event_timeline,forest_bird_branch_001,dss_event_timeline,10.0,8.0,8.0,True
w18_005_forest_bird_branch_001_dss_layer_avoid,forest_bird_branch_001,dss_layer_avoid,10.0,8.0,8.0,True
w18_006_glass_drop_room_001_naive,glass_drop_room_001,naive,10.0,7.0,7.0,True
w18_007_glass_drop_room_001_naive_rich,glass_drop_room_001,naive_rich,10.0,7.0,7.0,True
w18_008_glass_drop_room_001_dss_global,glass_drop_room_001,dss_global,10.0,7.0,7.0,True
w18_009_glass_drop_room_001_dss_event_timeline,glass_drop_room_001,dss_event_timeline,10.0,7.0,7.0,True
w18_010_glass_drop_room_001_dss_layer_avoid,glass_drop_room_001,dss_layer_avoid,10.0,7.0,7.0,True
w18_011_kitchen_chop_sizzle_001_naive,kitchen_chop_sizzle_001,naive,10.0,10.0,10.0,False
w18_012_kitchen_chop_sizzle_001_naive_rich,kitchen_chop_sizzle_001,naive_rich,10.0,10.0,10.0,False
w18_013_kitchen_chop_sizzle_001_dss_global,kitchen_chop_sizzle_001,dss_global,10.0,10.0,10.0,False
w18_014_kitchen_chop_sizzle_001_dss_event_timeline,kitchen_chop_sizzle_001,dss_event_timeline,10.0,10.0,10.0,False
w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,kitchen_chop_sizzle_001,dss_layer_avoid,10.0,10.0,10.0,False
w18_016_robot_warehouse_pick_001_naive,robot_warehouse_pick_001,naive,10.0,11.0,10.0,False
w18_017_robot_warehouse_pick_001_naive_rich,robot_warehouse_pick_001,naive_rich,10.0,11.0,10.0,False
w18_018_robot_warehouse_pick_001_dss_global,robot_warehouse_pick_001,dss_global,10.0,11.0,10.0,False
w18_019_robot_warehouse_pick_001_dss_event_timeline,robot_warehouse_pick_001,dss_event_timeline,10.0,11.0,10.0,False
w18_020_robot_warehouse_pick_001_dss_layer_avoid,robot_warehouse_pick_001,dss_layer_avoid,10.0,11.0,10.0,False
w18_021_street_rain_crosswalk_001_naive,street_rain_crosswalk_001,naive,10.0,9.0,9.0,True
w18_022_street_rain_crosswalk_001_naive_rich,street_rain_crosswalk_001,naive_rich,10.0,9.0,9.0,True
w18_023_street_rain_crosswalk_001_dss_global,street_rain_crosswalk_001,dss_global,10.0,9.0,9.0,True
w18_024_street_rain_crosswalk_001_dss_event_timeline,street_rain_crosswalk_001,dss_event_timeline,10.0,9.0,9.0,True
w18_025_street_rain_crosswalk_001_dss_layer_avoid,street_rain_crosswalk_001,dss_layer_avoid,10.0,9.0,9.0,True
w18_026_subway_arrival_door_001_naive,subway_arrival_door_001,naive,10.0,12.0,10.0,False
w18_027_subway_arrival_door_001_naive_rich,subway_arrival_door_001,naive_rich,10.0,12.0,10.0,False
w18_028_subway_arrival_door_001_dss_global,subway_arrival_door_001,dss_global,10.0,12.0,10.0,False
w18_029_subway_arrival_door_001_dss_event_timeline,subway_arrival_door_001,dss_event_timeline,10.0,12.0,10.0,False
w18_030_subway_arrival_door_001_dss_layer_avoid,subway_arrival_door_001,dss_layer_avoid,10.0,12.0,10.0,False
