case_id,slot_id,adapter_id,status,queue_wait_ms,runtime_ms,peak_gpu_memory_mb
fb_001_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_001_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_001_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_001_tuesday_repair,control,control,SUCCEEDED,0,7,0.0
fb_012_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_012_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_012_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_012_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_009_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_009_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_009_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_009_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_010_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_010_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_010_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_010_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_011_semantic_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_011_semantic_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_011_semantic_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_011_semantic_repair,control,control,SUCCEEDED,0,4,0.0
fb_011_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_011_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_011_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_011_tuesday_repair,control,control,SUCCEEDED,0,5,0.0
fb_006_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_006_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_006_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_006_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_007_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_007_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_007_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_007_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_002_tuesday_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_002_tuesday_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_002_tuesday_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_002_tuesday_repair,control,control,SUCCEEDED,0,4,0.0
fb_003_semantic_repair,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_003_semantic_repair,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_003_semantic_repair,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_003_semantic_repair,control,control,SUCCEEDED,0,4,0.0
fb_004_transplant_v1,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_004_transplant_v1,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_004_transplant_v1,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_004_transplant_v1,control,control,SUCCEEDED,0,5,0.0
fb_005_transplant_v1,v2a_primary,mmaudio,BLOCKED,0,0,0.0
fb_005_transplant_v1,v2a_temporal,foleycrafter,BLOCKED,0,0,0.0
fb_005_transplant_v1,t2a_dss,tangoflux,BLOCKED,0,0,0.0
fb_005_transplant_v1,control,control,SUCCEEDED,0,4,0.0
